;Date;Interval;Indoor Temperature(°C);Indoor Humidity(%);Outdoor Temperature(°C);Outdoor Humidity(%);Relative Pressure(hpa);Absolute Pressure(hpa);Wind Speed(m/s);Gust(m/s);Wind Direction;DewPoint(°C);WindChill(°C);Hour Rainfall(mm);24 Hour Rainfall(mm);Week Rainfall(mm);Month Rainfall(mm);Total Rainfall(mm);Wind Direction Degrees from North
0;2022-06-15 12:58:53;15;22.3;66;22.1;62.0;1020.7;1020.9;0.0;0.0; S;14.5;22.1;0.0;0.0;0.0;0.0;0.0;180
1;2022-06-15 13:13:53;15;22.5;65;22.2;61.0;1020.4;1020.6;0.0;0.0; S;14.3;22.2;0.0;0.0;0.0;0.0;0.0;180
2;2022-06-15 13:28:53;15;22.6;64;22.3;60.0;1020.0;1020.2;0.0;0.0; S;14.2;22.3;0.0;0.0;0.0;0.0;0.0;180
3;2022-06-15 13:43:53;15;22.7;63;22.3;60.0;1019.8;1020.0;0.0;0.0; S;14.2;22.3;0.0;0.0;0.0;0.0;0.0;180
4;2022-06-15 13:58:53;15;22.8;63;22.8;59.0;1019.8;1020.0;0.0;0.0; S;14.4;22.8;0.0;0.0;0.0;0.0;0.0;180
5;2022-06-15 14:13:53;15;22.9;62;23.0;58.0;1019.6;1019.8;0.0;0.0; S;14.3;23.0;0.0;0.0;0.0;0.0;0.0;180
6;2022-06-15 14:28:53;15;23.1;63;23.0;59.0;1019.4;1019.6;0.0;0.0; S;14.6;23.0;0.0;0.0;0.0;0.0;0.0;180
7;2022-06-15 14:43:53;15;23.1;63;22.9;58.0;1019.1;1019.3;0.0;0.0; S;14.2;22.9;0.0;0.0;0.0;0.0;0.0;180
8;2022-06-15 14:58:53;15;23.2;63;22.8;59.0;1019.2;1019.4;0.0;0.0; S;14.4;22.8;0.0;0.0;0.0;0.0;0.0;180
9;2022-06-15 15:13:53;15;23.2;63;22.8;59.0;1019.0;1019.2;0.0;0.0; S;14.4;22.8;0.0;0.0;0.0;0.0;0.0;180
10;2022-06-15 15:28:53;15;23.2;63;22.8;59.0;1018.9;1019.1;0.0;0.0; S;14.4;22.8;0.0;0.0;0.0;0.0;0.0;180
11;2022-06-15 15:43:53;15;23.2;64;22.9;60.0;1018.9;1019.1;0.0;0.0; S;14.8;22.9;0.0;0.0;0.0;0.0;0.0;180
12;2022-06-15 15:58:53;15;23.3;64;23.1;61.0;1018.8;1019.0;0.0;0.0; S;15.2;23.1;0.0;0.0;0.0;0.0;0.0;180
13;2022-06-15 16:13:53;15;23.4;63;23.1;61.0;1018.6;1018.8;0.0;0.0; S;15.2;23.1;0.0;0.0;0.0;0.0;0.0;180
14;2022-06-15 16:28:53;15;23.4;63;23.1;61.0;1018.6;1018.8;0.0;0.0; S;15.2;23.1;0.0;0.0;0.0;0.0;0.0;180
15;2022-06-15 16:43:53;15;23.3;63;23.0;61.0;1018.6;1018.8;0.0;0.0; S;15.1;23.0;0.0;0.0;0.0;0.0;0.0;180
16;2022-06-15 16:58:53;15;23.3;63;22.8;60.0;1018.3;1018.5;0.0;0.0; S;14.7;22.8;0.0;0.0;0.0;0.0;0.0;180
17;2022-06-15 17:13:53;15;23.1;63;22.8;59.0;1018.6;1018.8;0.0;0.0; S;14.4;22.8;0.0;0.0;0.0;0.0;0.0;180
18;2022-06-15 17:28:53;15;23.1;63;22.7;60.0;1018.5;1018.7;0.0;0.0; S;14.6;22.7;0.0;0.0;0.0;0.0;0.0;180
