NO.;Time;Interval;Indoor Temperature(°C);Indoor Humidity(%);Outdoor Temperature(°C);Outdoor Humidity(%);Relative Pressure(hpa);Absolute Pressure(hpa);Wind Speed(m/s);Gust(m/s);Wind Direction;DewPoint(°C);WindChill(°C);Hour Rainfall(mm);24 Hour Rainfall(mm);Week Rainfall(mm);Month Rainfall(mm);Total Rainfall(mm)
1; 15/06/2022 12:58:53;15; 22.3;66; 22.1;62; 1020.7; 1020.9; 0.0; 0.0; S; 14.5; 22.1; 0.00; 0.00; 0.00; 0.00; 0.00
2; 15/06/2022 13:13:53;15; 22.5;65; 22.2;61; 1020.4; 1020.6; 0.0; 0.0; S; 14.3; 22.2; 0.00; 0.00; 0.00; 0.00; 0.00
3; 15/06/2022 13:28:53;15; 22.6;64; 22.3;60; 1020.0; 1020.2; 0.0; 0.0; S; 14.2; 22.3; 0.00; 0.00; 0.00; 0.00; 0.00
4; 15/06/2022 13:43:53;15; 22.7;63; 22.3;60; 1019.8; 1020.0; 0.0; 0.0; S; 14.2; 22.3; 0.00; 0.00; 0.00; 0.00; 0.00
5; 15/06/2022 13:58:53;15; 22.8;63; 22.8;59; 1019.8; 1020.0; 0.0; 0.0; S; 14.4; 22.8; 0.00; 0.00; 0.00; 0.00; 0.00
6; 15/06/2022 14:13:53;15; 22.9;62; 23.0;58; 1019.6; 1019.8; 0.0; 0.0; S; 14.3; 23.0; 0.00; 0.00; 0.00; 0.00; 0.00
7; 15/06/2022 14:28:53;15; 23.1;63; 23.0;59; 1019.4; 1019.6; 0.0; 0.0; S; 14.6; 23.0; 0.00; 0.00; 0.00; 0.00; 0.00
8; 15/06/2022 14:43:53;15; 23.1;63; 22.9;58; 1019.1; 1019.3; 0.0; 0.0; S; 14.2; 22.9; 0.00; 0.00; 0.00; 0.00; 0.00
9; 15/06/2022 14:58:53;15; 23.2;63; 22.8;59; 1019.2; 1019.4; 0.0; 0.0; S; 14.4; 22.8; 0.00; 0.00; 0.00; 0.00; 0.00
10; 15/06/2022 15:13:53;15; 23.2;63; 22.8;59; 1019.0; 1019.2; 0.0; 0.0; S; 14.4; 22.8; 0.00; 0.00; 0.00; 0.00; 0.00
11; 15/06/2022 15:28:53;15; 23.2;63; 22.8;59; 1018.9; 1019.1; 0.0; 0.0; S; 14.4; 22.8; 0.00; 0.00; 0.00; 0.00; 0.00
12; 15/06/2022 15:43:53;15; 23.2;64; 22.9;60; 1018.9; 1019.1; 0.0; 0.0; S; 14.8; 22.9; 0.00; 0.00; 0.00; 0.00; 0.00
13; 15/06/2022 15:58:53;15; 23.3;64; 23.1;61; 1018.8; 1019.0; 0.0; 0.0; S; 15.2; 23.1; 0.00; 0.00; 0.00; 0.00; 0.00
14; 15/06/2022 16:13:53;15; 23.4;63; 23.1;61; 1018.6; 1018.8; 0.0; 0.0; S; 15.2; 23.1; 0.00; 0.00; 0.00; 0.00; 0.00
15; 15/06/2022 16:28:53;15; 23.4;63; 23.1;61; 1018.6; 1018.8; 0.0; 0.0; S; 15.2; 23.1; 0.00; 0.00; 0.00; 0.00; 0.00
16; 15/06/2022 16:43:53;15; 23.3;63; 23.0;61; 1018.6; 1018.8; 0.0; 0.0; S; 15.1; 23.0; 0.00; 0.00; 0.00; 0.00; 0.00
17; 15/06/2022 16:58:53;15; 23.3;63; 22.8;60; 1018.3; 1018.5; 0.0; 0.0; S; 14.7; 22.8; 0.00; 0.00; 0.00; 0.00; 0.00
18; 15/06/2022 17:13:53;15; 23.1;63; 22.8;59; 1018.6; 1018.8; 0.0; 0.0; S; 14.4; 22.8; 0.00; 0.00; 0.00; 0.00; 0.00
19; 15/06/2022 17:28:53;15; 23.1;63; 22.7;60; 1018.5; 1018.7; 0.0; 0.0; S; 14.6; 22.7; 0.00; 0.00; 0.00; 0.00; 0.00
20; 15/06/2022 17:43:53;15; 22.9;62; 22.7;60; 1018.7; 1018.9; 0.0; 0.0; S; 14.6; 22.7; 0.00; 0.00; 0.00; 0.00; 0.00
21; 15/06/2022 17:58:53;15; 22.9;62; 22.6;60; 1018.9; 1019.1; 0.0; 0.0; S; 14.5; 22.6; 0.00; 0.00; 0.00; 0.00; 0.00
22; 15/06/2022 18:13:53;15; 22.8;63; 22.5;60; 1018.9; 1019.1; 0.0; 0.0; S; 14.4; 22.5; 0.00; 0.00; 0.00; 0.00; 0.00
23; 15/06/2022 18:28:53;15; 22.8;63; 22.4;60; 1019.0; 1019.2; 0.0; 0.0; S; 14.3; 22.4; 0.00; 0.00; 0.00; 0.00; 0.00
24; 15/06/2022 18:43:53;15; 22.7;63; 22.4;60; 1018.7; 1018.9; 0.0; 0.0; S; 14.3; 22.4; 0.00; 0.00; 0.00; 0.00; 0.00
25; 15/06/2022 18:58:53;15; 22.7;63; 22.3;61; 1018.8; 1019.0; 0.0; 0.0; S; 14.4; 22.3; 0.00; 0.00; 0.00; 0.00; 0.00
26; 15/06/2022 19:13:53;15; 22.7;63; 22.3;61; 1019.0; 1019.2; 0.0; 0.0; S; 14.4; 22.3; 0.00; 0.00; 0.00; 0.00; 0.00
27; 15/06/2022 19:28:53;15; 22.6;63; 22.3;61; 1019.2; 1019.4; 0.0; 0.0; S; 14.4; 22.3; 0.00; 0.00; 0.00; 0.00; 0.00
